"file_name","sample","final_age","latitude","length","gear_depth","gear_temp"
"WALLEYE_POLLOCK_157201608201_61793_OT1.0","training",9,56.23726667,482,47.88,5.18
"WALLEYE_POLLOCK_157201608201_61806_OT1.0","training",5,56.23726667,456,47.88,5.18
"WALLEYE_POLLOCK_157201608201_61815_OT1.0","training",7,56.23726667,526,47.88,5.18
"WALLEYE_POLLOCK_157201608201_61817_OT1.0","training",3,56.23726667,398,47.88,5.18
"WALLEYE_POLLOCK_157201608201_61827_OT1.0","test",5,56.22292167,448,59.11,5.77
"WALLEYE_POLLOCK_157201608201_61836_OT1.0","training",4,56.22292167,431,59.11,5.77
"WALLEYE_POLLOCK_157201608201_61844_OT1.0","test",3,56.22292167,414,59.11,5.77
"WALLEYE_POLLOCK_157201608201_61852_OT1.0","training",4,56.22292167,390,59.11,5.77
"WALLEYE_POLLOCK_157201608201_61853_OT1.0","test",4,56.22292167,470,59.11,5.77
"WALLEYE_POLLOCK_157201608201_61856_OT1.0","training",4,56.22292167,419,59.11,5.77
"WALLEYE_POLLOCK_157201608201_61880_OT1.0","training",5,55.777625,428,36.05,5.76
"WALLEYE_POLLOCK_157201608201_61885_OT1.0","training",3,55.777625,372,36.05,5.76
"WALLEYE_POLLOCK_157201608201_61894_OT1.0","training",4,56.883415,403,35.36,4.94
"WALLEYE_POLLOCK_157201608201_61898_OT1.0","training",12,56.664405,487,49.18,4.8
"WALLEYE_POLLOCK_157201608201_61901_OT1.0","test",3,56.664405,396,49.18,4.8
"WALLEYE_POLLOCK_157201608201_61902_OT1.0","test",3,56.664405,401,49.18,4.8
"WALLEYE_POLLOCK_157201608201_61912_OT1.0","test",4,56.664405,453,49.18,4.8
"WALLEYE_POLLOCK_157201608201_61948_OT1.0","training",3,56.120295,423,59.48,4.66
"WALLEYE_POLLOCK_157201608201_61959_OT1.0","training",8,55.71584333,521,54.76,5.07
"WALLEYE_POLLOCK_157201608201_61967_OT1.0","test",4,55.71584333,420,54.76,5.07
"WALLEYE_POLLOCK_157201608201_61973_OT1.0","test",4,55.71584333,433,54.76,5.07
"WALLEYE_POLLOCK_157201608201_61976_OT1.0","training",4,55.71584333,413,54.76,5.07
"WALLEYE_POLLOCK_157201608201_61983_OT1.0","training",4,55.71584333,418,54.76,5.07
"WALLEYE_POLLOCK_157201608201_61986_OT1.0","training",4,55.71584333,411,54.76,5.07
"WALLEYE_POLLOCK_157201608201_62002_OT1.0","training",6,56.10163667,474,47.47,5.06
"WALLEYE_POLLOCK_157201608201_62011_OT1.0","training",5,56.10163667,530,47.47,5.06
"WALLEYE_POLLOCK_157201608201_62014_OT1.0","training",8,56.10163667,510,47.47,5.06
"WALLEYE_POLLOCK_157201608201_62031_OT1.0","training",2,56.75019667,208,70.07,4.76
"WALLEYE_POLLOCK_157201608201_62032_OT1.0","training",3,56.75019667,371,70.07,4.76
"WALLEYE_POLLOCK_157201608201_62047_OT1.0","test",4,56.75019667,359,70.07,4.76
"WALLEYE_POLLOCK_157201608201_62051_OT1.0","training",4,56.75019667,455,70.07,4.76
"WALLEYE_POLLOCK_157201608201_62057_OT1.0","training",4,56.75019667,414,70.07,4.76
"WALLEYE_POLLOCK_157201608201_62069_OT1.0","training",7,56.6881,546,44.09,4.92
"WALLEYE_POLLOCK_157201608201_62071_OT1.0","training",8,56.6881,495,44.09,4.92
"WALLEYE_POLLOCK_157201608201_62073_OT1.0","training",5,56.6881,444,44.09,4.92
"WALLEYE_POLLOCK_157201608201_62081_OT1.0","training",4,56.6881,378,44.09,4.92
"WALLEYE_POLLOCK_157201608201_62087_OT1.0","training",4,56.6881,389,44.09,4.92
"WALLEYE_POLLOCK_157201608201_62088_OT1.0","test",4,56.6881,405,44.09,4.92
"WALLEYE_POLLOCK_157201608201_62106_OT1.0","training",4,56.23037833,407,63.01,4.65
"WALLEYE_POLLOCK_157201608201_62121_OT1.0","training",4,56.23037833,417,63.01,4.65
"WALLEYE_POLLOCK_157201608201_62135_OT1.0","training",4,55.86058667,395,60.86,4.88
"WALLEYE_POLLOCK_157201608201_62138_OT1.0","training",4,55.86058667,406,60.86,4.88
"WALLEYE_POLLOCK_157201608201_62147_OT1.0","training",7,55.86058667,411,60.86,4.88
"WALLEYE_POLLOCK_157201608201_62150_OT1.0","test",4,55.86058667,388,60.86,4.88
"WALLEYE_POLLOCK_157201608201_62152_OT1.0","training",4,55.86058667,403,60.86,4.88
"WALLEYE_POLLOCK_157201608201_62167_OT1.0","training",4,55.11843,395,42.13,6.5
"WALLEYE_POLLOCK_157201608201_62170_OT1.0","training",3,55.11843,412,42.13,6.5
"WALLEYE_POLLOCK_157201608201_62172_OT1.0","training",4,55.11843,388,42.13,6.5
"WALLEYE_POLLOCK_157201608201_62185_OT1.0","test",4,54.95677,415,60.02,6.77
"WALLEYE_POLLOCK_157201608201_62209_OT1.0","training",3,55.26807,415,64.23,6.45
"WALLEYE_POLLOCK_157201608201_62217_OT1.0","test",4,55.26807,406,64.23,6.45
"WALLEYE_POLLOCK_157201608201_62218_OT1.0","training",5,55.71574333,435,69.63,5.92
"WALLEYE_POLLOCK_157201608201_62236_OT1.0","training",4,55.71574333,429,69.63,5.92
"WALLEYE_POLLOCK_157201608201_62252_OT1.0","training",4,56.77176167,406,45.37,4.61
"WALLEYE_POLLOCK_157201608201_62258_OT1.0","training",8,57.058345,562,33.17,4.32
"WALLEYE_POLLOCK_157201608201_62261_OT1.0","training",4,57.053425,419,37.59,4.3
"WALLEYE_POLLOCK_157201608201_62262_OT1.0","training",9,57.053425,524,37.59,4.3
"WALLEYE_POLLOCK_157201608201_62281_OT1.0","test",3,57.053425,373,37.59,4.3
"WALLEYE_POLLOCK_157201608201_62287_OT1.0","training",4,56.18544167,390,60.44,5.22
"WALLEYE_POLLOCK_157201608201_62290_OT1.0","training",4,56.18544167,419,60.44,5.22
"WALLEYE_POLLOCK_157201608201_62303_OT1.0","training",5,55.56986,424,82.89,5.04
"WALLEYE_POLLOCK_157201608201_62312_OT1.0","training",4,55.56986,415,82.89,5.04
"WALLEYE_POLLOCK_157201608201_62319_OT1.0","training",4,55.56986,381,82.89,5.04
"WALLEYE_POLLOCK_157201608201_62328_OT1.0","training",5,56.57297333,382,63.53,4.96
"WALLEYE_POLLOCK_157201608201_62350_OT1.0","training",8,56.09927,477,89.16,4.74
"WALLEYE_POLLOCK_157201608201_62354_OT1.0","training",4,56.09927,409,89.16,4.74
"WALLEYE_POLLOCK_157201608201_62362_OT1.0","training",6,56.09927,456,89.16,4.74
"WALLEYE_POLLOCK_157201608201_62375_OT1.0","training",3,55.48352,447,86.69,4.91
"WALLEYE_POLLOCK_157201608201_62381_OT1.0","training",4,55.48352,425,86.69,4.91
"WALLEYE_POLLOCK_157201608201_62398_OT1.0","training",6,55.962405,416,93.19,4.78
"WALLEYE_POLLOCK_157201608201_62402_OT1.0","training",3,55.962405,383,93.19,4.78
"WALLEYE_POLLOCK_157201608201_62404_OT1.0","training",4,55.962405,388,93.19,4.78
"WALLEYE_POLLOCK_157201608201_62409_OT1.0","test",11,55.962405,611,93.19,4.78
"WALLEYE_POLLOCK_157201608201_62424_OT1.0","test",4,56.54002667,432,73.18,5.09
"WALLEYE_POLLOCK_157201608201_62427_OT1.0","training",4,56.54002667,394,73.18,5.09
"WALLEYE_POLLOCK_157201608201_62429_OT1.0","training",4,56.54002667,407,73.18,5.09
"WALLEYE_POLLOCK_157201608201_62436_OT1.0","test",4,57.16330833,416,37.26,5.15
"WALLEYE_POLLOCK_157201608201_62449_OT1.0","training",7,57.16330833,513,37.26,5.15
"WALLEYE_POLLOCK_157201608201_62453_OT1.0","training",8,57.16330833,519,37.26,5.15
"WALLEYE_POLLOCK_157201608201_62469_OT1.0","test",9,57.281395,542,70.45,4.57
"WALLEYE_POLLOCK_157201608201_62472_OT1.0","test",11,57.281395,603,70.45,4.57
"WALLEYE_POLLOCK_157201608201_62496_OT1.0","test",4,56.35147667,421,90.22,4.71
"WALLEYE_POLLOCK_157201608201_62504_OT1.0","test",3,56.35147667,402,90.22,4.71
"WALLEYE_POLLOCK_157201608201_62505_OT1.0","training",4,56.35147667,359,90.22,4.71
"WALLEYE_POLLOCK_157201608201_62508_OT1.0","training",3,56.35147667,288,90.22,4.71
"WALLEYE_POLLOCK_157201608201_62518_OT1.0","training",7,55.90469833,552,111.49,4.42
"WALLEYE_POLLOCK_157201608201_62529_OT1.0","training",3,55.90469833,455,111.49,4.42
"WALLEYE_POLLOCK_157201608201_62531_OT1.0","test",9,55.90469833,547,111.49,4.42
"WALLEYE_POLLOCK_157201608201_62539_OT1.0","training",8,55.90469833,564,111.49,4.42
"WALLEYE_POLLOCK_157201608201_62542_OT1.0","training",8,55.90469833,517,111.49,4.42
"WALLEYE_POLLOCK_157201608201_62547_OT1.0","training",7,55.89944833,539,131.52,4.06
"WALLEYE_POLLOCK_157201608201_62551_OT1.0","training",4,55.89944833,471,131.52,4.06
"WALLEYE_POLLOCK_157201608201_62553_OT1.0","training",6,55.89944833,418,131.52,4.06
"WALLEYE_POLLOCK_157201608201_62554_OT1.0","training",8,55.89944833,500,131.52,4.06
"WALLEYE_POLLOCK_157201608201_62560_OT1.0","training",5,55.89944833,403,131.52,4.06
"WALLEYE_POLLOCK_157201608201_62564_OT1.0","training",5,55.89944833,492,131.52,4.06
"WALLEYE_POLLOCK_157201608201_62568_OT1.0","training",7,55.89944833,494,131.52,4.06
"WALLEYE_POLLOCK_157201608201_62569_OT1.0","training",9,55.89944833,464,131.52,4.06
"WALLEYE_POLLOCK_157201608201_62575_OT1.0","training",9,56.57491833,568,76.17,4.77
"WALLEYE_POLLOCK_157201608201_62576_OT1.0","training",4,56.57491833,392,76.17,4.77
"WALLEYE_POLLOCK_157201608201_62584_OT1.0","training",4,56.57491833,430,76.17,4.77
"WALLEYE_POLLOCK_157201608201_62598_OT1.0","training",1,58.59068667,148,41.68,4.22
"WALLEYE_POLLOCK_157201608201_62605_OT1.0","test",1,58.59068667,156,41.68,4.22
"WALLEYE_POLLOCK_157201608201_62612_OT1.0","test",1,58.59068667,153,41.68,4.22
"WALLEYE_POLLOCK_157201608201_62617_OT1.0","test",2,58.59068667,327,41.68,4.22
"WALLEYE_POLLOCK_157201608201_62618_OT1.0","training",2,58.59068667,246,41.68,4.22
"WALLEYE_POLLOCK_157201608201_62628_OT1.0","training",3,58.59068667,364,41.68,4.22
"WALLEYE_POLLOCK_157201608201_62638_OT1.0","training",4,56.782035,430,43.78,5.99
"WALLEYE_POLLOCK_157201608201_62652_OT1.0","training",8,56.02213333,471,105.49,4.57
"WALLEYE_POLLOCK_157201608201_62657_OT1.0","test",6,56.782035,489,43.78,5.99
"WALLEYE_POLLOCK_157201608201_62701_OT1.0","training",9,57.82452333,477,43.16,4.53
"WALLEYE_POLLOCK_157201608201_62705_OT1.0","test",2,57.82452333,357,43.16,4.53
"WALLEYE_POLLOCK_157201608201_62708_OT1.0","training",4,57.82452333,429,43.16,4.53
"WALLEYE_POLLOCK_157201608201_62717_OT1.0","test",3,58.799575,350,44.39,3.29
"WALLEYE_POLLOCK_157201608201_62720_OT1.0","training",4,58.799575,454,44.39,3.29
"WALLEYE_POLLOCK_157201608201_62733_OT1.0","test",3,58.799575,364,44.39,3.29
"WALLEYE_POLLOCK_157201608201_62745_OT1.0","training",2,59.15830333,255,42.1,3.34
"WALLEYE_POLLOCK_157201608201_62748_OT1.0","training",3,59.15830333,320,42.1,3.34
"WALLEYE_POLLOCK_157201608201_62754_OT1.0","training",3,59.15830333,292,42.1,3.34
"WALLEYE_POLLOCK_157201608201_62770_OT1.0","training",3,59.48922167,327,38.92,3.56
"WALLEYE_POLLOCK_157201608201_62780_OT1.0","training",3,59.48922167,336,38.92,3.56
"WALLEYE_POLLOCK_157201608201_62781_OT1.0","test",3,59.48922167,312,38.92,3.56
"WALLEYE_POLLOCK_157201608201_62791_OT1.0","training",2,59.48922167,293,38.92,3.56
"WALLEYE_POLLOCK_157201608201_62797_OT1.0","training",8,59.40508167,488,46.64,2.67
"WALLEYE_POLLOCK_157201608201_62805_OT1.0","training",3,59.40508167,323,46.64,2.67
"WALLEYE_POLLOCK_157201608201_62808_OT1.0","test",3,59.40508167,367,46.64,2.67
"WALLEYE_POLLOCK_157201608201_62811_OT1.0","training",3,59.40508167,332,46.64,2.67
"WALLEYE_POLLOCK_157201608201_62813_OT1.0","test",4,59.40508167,300,46.64,2.67
"WALLEYE_POLLOCK_157201608201_62829_OT1.0","training",4,58.02183833,410,48.16,4.22
"WALLEYE_POLLOCK_157201608201_62831_OT1.0","training",4,58.02183833,368,48.16,4.22
"WALLEYE_POLLOCK_157201608201_62857_OT1.0","training",3,56.62350667,363,82.68,4.79
"WALLEYE_POLLOCK_157201608201_62862_OT1.0","training",4,56.25650667,406,87.04,4.71
"WALLEYE_POLLOCK_157201608201_62883_OT1.0","test",4,56.15813333,410,93.02,4.64
"WALLEYE_POLLOCK_157201608201_62888_OT1.0","training",5,56.15813333,410,93.02,4.64
"WALLEYE_POLLOCK_157201608201_62890_OT1.0","training",5,56.15813333,385,93.02,4.64
"WALLEYE_POLLOCK_157201608201_62896_OT1.0","test",4,56.15813333,412,93.02,4.64
"WALLEYE_POLLOCK_157201608201_62898_OT1.0","training",4,56.33756167,438,110.26,4.51
"WALLEYE_POLLOCK_157201608201_62899_OT1.0","training",8,56.33756167,473,110.26,4.51
"WALLEYE_POLLOCK_157201608201_62902_OT1.0","training",4,56.33756167,419,110.26,4.51
"WALLEYE_POLLOCK_157201608201_62920_OT1.0","training",5,56.788985,386,86.8,4.9
"WALLEYE_POLLOCK_157201608201_62962_OT1.0","test",1,58.04892333,158,56.51,3.45
"WALLEYE_POLLOCK_157201608201_62973_OT1.0","training",3,58.04892333,348,56.51,3.45
"WALLEYE_POLLOCK_157201608201_62989_OT1.0","test",3,58.53842167,413,63.34,2.37
"WALLEYE_POLLOCK_157201608201_62996_OT1.0","training",3,58.53842167,335,63.34,2.37
"WALLEYE_POLLOCK_157201608201_62999_OT1.0","test",7,58.53842167,430,63.34,2.37
"WALLEYE_POLLOCK_157201608201_63009_OT1.0","test",9,59.04564167,652,52.26,2.44
"WALLEYE_POLLOCK_157201608201_63013_OT1.0","test",4,59.04564167,380,52.26,2.44
"WALLEYE_POLLOCK_157201608201_63026_OT1.0","training",3,59.04564167,353,52.26,2.44
"WALLEYE_POLLOCK_157201608201_63032_OT1.0","training",2,59.82557333,129,43.01,2
"WALLEYE_POLLOCK_157201608201_63036_OT1.0","training",2,59.82557333,200,43.01,2
"WALLEYE_POLLOCK_157201608201_63038_OT1.0","training",1,59.82557333,140,43.01,2
"WALLEYE_POLLOCK_157201608201_63040_OT1.0","training",2,59.82557333,329,43.01,2
"WALLEYE_POLLOCK_157201608201_63044_OT1.0","training",5,59.82557333,407,43.01,2
"WALLEYE_POLLOCK_157201608201_63046_OT1.0","training",2,59.82557333,293,43.01,2
"WALLEYE_POLLOCK_157201608201_63067_OT1.0","test",4,59.21698167,341,66.82,1.96
"WALLEYE_POLLOCK_157201608201_63071_OT1.0","training",5,59.21698167,372,66.82,1.96
"WALLEYE_POLLOCK_157201608201_63078_OT1.0","training",3,58.67419667,341,62.6,2.38
"WALLEYE_POLLOCK_157201608201_63094_OT1.0","training",3,58.67419667,323,62.6,2.38
"WALLEYE_POLLOCK_157201608201_63101_OT1.0","test",5,58.104855,379,63.04,4.07
"WALLEYE_POLLOCK_157201608201_63104_OT1.0","training",7,58.104855,471,63.04,4.07
"WALLEYE_POLLOCK_157201608201_63121_OT1.0","test",8,57.02387833,532,88.4,4.85
"WALLEYE_POLLOCK_157201608201_63123_OT1.0","training",8,57.02387833,497,88.4,4.85
"WALLEYE_POLLOCK_157201608201_63128_OT1.0","test",8,57.02387833,549,88.4,4.85
"WALLEYE_POLLOCK_157201608201_63148_OT1.0","training",5,56.52623167,468,116.63,4.46
"WALLEYE_POLLOCK_157201608201_63173_OT1.0","test",5,56.62077167,475,136.18,4.29
"WALLEYE_POLLOCK_157201608201_63186_OT1.0","training",4,57.046005,443,85.62,4.78
"WALLEYE_POLLOCK_157201608201_63191_OT1.0","training",3,57.046005,354,85.62,4.78
"WALLEYE_POLLOCK_157201608201_63198_OT1.0","training",3,57.046005,361,85.62,4.78
"WALLEYE_POLLOCK_157201608201_63199_OT1.0","training",3,57.046005,353,85.62,4.78
"WALLEYE_POLLOCK_157201608201_63217_OT1.0","training",2,58.132565,358,72.14,3.58
"WALLEYE_POLLOCK_157201608201_63218_OT1.0","training",3,58.132565,360,72.14,3.58
"WALLEYE_POLLOCK_157201608201_63221_OT1.0","training",2,59.0234,269,51.41,3.9
"WALLEYE_POLLOCK_157201608201_63245_OT1.0","test",5,59.95872333,440,47.83,1.54
"WALLEYE_POLLOCK_157201608201_63261_OT1.0","training",15,60.56659833,682,52.8,1.04
"WALLEYE_POLLOCK_157201608201_63263_OT1.0","training",7,60.56659833,458,52.8,1.04
"WALLEYE_POLLOCK_157201608201_63265_OT1.0","test",8,60.56659833,477,52.8,1.04
"WALLEYE_POLLOCK_157201608201_63272_OT1.0","training",8,60.56659833,441,52.8,1.04
"WALLEYE_POLLOCK_157201608201_63290_OT1.0","training",9,59.66263667,488,72.41,1.79
"WALLEYE_POLLOCK_157201608201_63300_OT1.0","training",10,59.30636,670,70.44,2.79
"WALLEYE_POLLOCK_157201608201_63308_OT1.0","training",3,59.30636,325,70.44,2.79
"WALLEYE_POLLOCK_157201608201_63322_OT1.0","training",4,58.49732333,363,79.58,4.35
"WALLEYE_POLLOCK_157201608201_63329_OT1.0","training",3,58.49732333,346,79.58,4.35
"WALLEYE_POLLOCK_157201608201_63361_OT1.0","training",7,57.16447833,498,90.37,4.67
"WALLEYE_POLLOCK_157201608201_63368_OT1.0","training",6,57.16447833,436,90.37,4.67
"WALLEYE_POLLOCK_157201608201_63380_OT1.0","test",4,56.66880833,474,102.29,4.51
"WALLEYE_POLLOCK_157201608201_63386_OT1.0","training",4,56.66880833,429,102.29,4.51
"WALLEYE_POLLOCK_157201608201_63392_OT1.0","training",4,56.66880833,416,102.29,4.51
"WALLEYE_POLLOCK_157201608201_63393_OT1.0","training",5,56.66880833,404,102.29,4.51
"WALLEYE_POLLOCK_157201608201_63394_OT1.0","training",7,56.66880833,472,102.29,4.51
"WALLEYE_POLLOCK_157201608201_63396_OT1.0","training",4,56.66880833,370,102.29,4.51
"WALLEYE_POLLOCK_157201608201_63404_OT1.0","training",5,57.68954167,439,79.82,4.5
"WALLEYE_POLLOCK_157201608201_63409_OT1.0","training",5,57.68954167,462,79.82,4.5
"WALLEYE_POLLOCK_157201608201_63427_OT1.0","training",4,58.28691667,448,102.66,4.33
"WALLEYE_POLLOCK_157201608201_63437_OT1.0","training",4,58.96884,379,76.96,3.56
"WALLEYE_POLLOCK_157201608201_63450_OT1.0","training",3,58.96884,340,76.96,3.56
"WALLEYE_POLLOCK_157201608201_63468_OT1.0","training",3,59.26726167,327,55.15,4.96
"WALLEYE_POLLOCK_157201608201_63479_OT1.0","training",2,59.26726167,314,55.15,4.96
"WALLEYE_POLLOCK_157201608201_63480_OT1.0","training",3,59.26726167,313,55.15,4.96
"WALLEYE_POLLOCK_157201608201_63488_OT1.0","training",6,59.80106333,421,73.95,2.58
"WALLEYE_POLLOCK_157201608201_63509_OT1.0","training",11,59.80106333,651,73.95,2.58
"WALLEYE_POLLOCK_157201608201_63518_OT1.0","test",6,61.05150333,432,56.66,1.07
"WALLEYE_POLLOCK_157201608201_63536_OT1.0","training",7,61.51624833,477,56.53,-0.75
"WALLEYE_POLLOCK_157201608201_63537_OT1.0","training",8,61.51624833,505,56.53,-0.75
"WALLEYE_POLLOCK_157201608201_63548_OT1.0","training",4,61.51624833,418,56.53,-0.75
"WALLEYE_POLLOCK_157201608201_63553_OT1.0","training",4,61.51624833,358,56.53,-0.75
"WALLEYE_POLLOCK_157201608201_63563_OT1.0","training",3,61.37970667,288,58.79,0.79
"WALLEYE_POLLOCK_157201608201_63585_OT1.0","training",5,60.50334,392,67.14,1.64
"WALLEYE_POLLOCK_157201608201_63595_OT1.0","training",3,60.50334,349,67.14,1.64
"WALLEYE_POLLOCK_157201608201_63601_OT1.0","training",4,59.99434,320,82.77,2.46
"WALLEYE_POLLOCK_157201608201_63603_OT1.0","training",2,59.99434,258,82.77,2.46
"WALLEYE_POLLOCK_157201608201_63604_OT1.0","training",3,59.99434,368,82.77,2.46
"WALLEYE_POLLOCK_157201608201_63610_OT1.0","training",3,59.99434,314,82.77,2.46
"WALLEYE_POLLOCK_157201608201_63635_OT1.0","training",2,59.655185,235,75.76,2.73
"WALLEYE_POLLOCK_157201608201_63638_OT1.0","training",2,59.655185,249,75.76,2.73
"WALLEYE_POLLOCK_157201608201_63639_OT1.0","training",3,59.19390667,357,90.13,2.87
"WALLEYE_POLLOCK_157201608201_63645_OT1.0","test",3,59.19390667,327,90.13,2.87
"WALLEYE_POLLOCK_157201608201_63654_OT1.0","training",4,59.19390667,348,90.13,2.87
"WALLEYE_POLLOCK_157201608201_63663_OT1.0","test",2,59.19390667,196,90.13,2.87
"WALLEYE_POLLOCK_157201608201_63665_OT1.0","training",2,59.19390667,202,90.13,2.87
"WALLEYE_POLLOCK_157201608201_63667_OT1.0","training",1,59.19390667,171,90.13,2.87
"WALLEYE_POLLOCK_157201608201_63671_OT1.0","training",3,58.90968833,358,90.76,3.51
"WALLEYE_POLLOCK_157201608201_63677_OT1.0","training",4,58.90968833,380,90.76,3.51
"WALLEYE_POLLOCK_157201608201_63695_OT1.0","test",8,58.71561667,499,128.57,3.74
"WALLEYE_POLLOCK_157201608201_63698_OT1.0","test",6,58.71561667,440,128.57,3.74
"WALLEYE_POLLOCK_157201608201_63721_OT1.0","training",3,58.88789833,321,87.15,2.55
"WALLEYE_POLLOCK_157201608201_63727_OT1.0","test",3,58.88789833,352,87.15,2.55
